Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2017,Brooklyn Nets,101,San Antonio Spurs,130
2017,Sacramento Kings,84,Utah Jazz,104
2017,Milwaukee Bucks,105,Washington Wizards,110
2017,Philadelphia 76ers,97,Detroit Pistons,79
2017,New York Knicks,118,Los Angeles Lakers,112
2017,Golden State Warriors,116,Minnesota Timberwolves,108
2017,Boston Celtics,96,Oklahoma City Thunder,99
2017,New Orleans Pelicans,120,Phoenix Suns,119
2017,Denver Nuggets,92,Dallas Mavericks,112
2017,Brooklyn Nets,118,Houston Rockets,122
2017,Charlotte Hornets,94,Indiana Pacers,110
2017,Portland Trail Blazers,120,Los Angeles Clippers,121
2017,Washington Wizards,101,Miami Heat,112
2017,Los Angeles Lakers,92,Sacramento Kings,116
2017,Milwaukee Bucks,100,Toronto Raptors,122
2017,Orlando Magic,131,Atlanta Hawks,120
2017,Minnesota Timberwolves,99,Chicago Bulls,94
2017,Memphis Grizzlies,86,Cleveland Cavaliers,103
2017,Golden State Warriors,113,New Orleans Pelicans,109
2017,New York Knicks,111,Phoenix Suns,113
2017,Oklahoma City Thunder,95,Portland Trail Blazers,114
2017,Los Angeles Lakers,97,Brooklyn Nets,107
2017,Detroit Pistons,95,Dallas Mavericks,85
2017,Sacramento Kings,98,Houston Rockets,132
2017,Cleveland Cavaliers,85,Memphis Grizzlies,93
2017,Indiana Pacers,89,Miami Heat,95
2017,Los Angeles Clippers,113,Orlando Magic,108
2017,Toronto Raptors,123,Philadelphia 76ers,114
2017,Boston Celtics,101,San Antonio Spurs,108
2017,Oklahoma City Thunder,89,Utah Jazz,109
2017,Charlotte Hornets,106,Washington Wizards,109
2017,Portland Trail Blazers,120,Denver Nuggets,132
2017,New York Knicks,90,Golden State Warriors,103
2017,Chicago Bulls,97,Milwaukee Bucks,108
2017,Indiana Pacers,95,New Orleans Pelicans,102
2017,San Antonio Spurs,107,Phoenix Suns,92
2017,Charlotte Hornets,88,Boston Celtics,96
2017,Milwaukee Bucks,95,Chicago Bulls,69
2017,New Orleans Pelicans,100,Houston Rockets,122
2017,Sacramento Kings,96,Memphis Grizzlies,92
2017,Los Angeles Clippers,102,Miami Heat,98
2017,Brooklyn Nets,111,Orlando Magic,118
2017,Los Angeles Lakers,100,Philadelphia 76ers,89
2017,Atlanta Hawks,125,Toronto Raptors,121
2017,Dallas Mavericks,100,Utah Jazz,103
2017,Detroit Pistons,108,Washington Wizards,122
2017,Charlotte Hornets,107,Atlanta Hawks,99
2017,Los Angeles Lakers,108,Cleveland Cavaliers,119
2017,New York Knicks,114,Denver Nuggets,127
2017,Indiana Pacers,105,Detroit Pistons,90
2017,Portland Trail Blazers,90,Golden State Warriors,135
2017,Houston Rockets,111,Minnesota Timberwolves,109
2017,Phoenix Suns,101,Oklahoma City Thunder,114
2017,Sacramento Kings,79,Dallas Mavericks,99
2017,Utah Jazz,82,Memphis Grizzlies,73
2017,Boston Celtics,105,Miami Heat,95
2017,Toronto Raptors,109,Orlando Magic,79
2017,Brooklyn Nets,107,Philadelphia 76ers,108
2017,New Orleans Pelicans,100,San Antonio Spurs,113
2017,Los Angeles Clippers,110,Washington Wizards,117
2017,Detroit Pistons,82,Chicago Bulls,113
2017,Dallas Mavericks,107,Denver Nuggets,117
2017,Washington Wizards,105,Indiana Pacers,107
2017,Phoenix Suns,108,Minnesota Timberwolves,115
2017,Atlanta Hawks,110,Oklahoma City Thunder,108
2017,Los Angeles Lakers,113,Charlotte Hornets,117
2017,Utah Jazz,74,Golden State Warriors,104
2017,San Antonio Spurs,102,Houston Rockets,100
2017,Denver Nuggets,102,Los Angeles Clippers,119
2017,Boston Celtics,112,Memphis Grizzlies,109
2017,Orlando Magic,136,Miami Heat,130
2017,Cleveland Cavaliers,114,Milwaukee Bucks,108
2017,Indiana Pacers,111,New York Knicks,118
2017,New Orleans Pelicans,108,Philadelphia 76ers,93
2017,Portland Trail Blazers,121,Sacramento Kings,126
2017,Brooklyn Nets,104,Toronto Raptors,116
2017,Minnesota Timberwolves,92,Atlanta Hawks,84
2017,Washington Wizards,107,Chicago Bulls,97
2017,Milwaukee Bucks,102,Cleveland Cavaliers,113
2017,Memphis Grizzlies,98,Detroit Pistons,86
2017,Oklahoma City Thunder,121,New Orleans Pelicans,110
2017,Houston Rockets,125,Phoenix Suns,111
2017,Dallas Mavericks,96,Portland Trail Blazers,95
2017,Sacramento Kings,94,Utah Jazz,93
2017,Golden State Warriors,117,Brooklyn Nets,101
2017,Boston Celtics,109,Indiana Pacers,102
2017,San Antonio Spurs,101,Los Angeles Clippers,106
2017,Los Angeles Lakers,107,Miami Heat,115
2017,Orlando Magic,95,New York Knicks,106
2017,Oklahoma City Thunder,117,Boston Celtics,112
2017,Chicago Bulls,91,Charlotte Hornets,103
2017,Brooklyn Nets,99,Cleveland Cavaliers,119
