ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
52,2016-11-28,00:30,Miami Heat vs Boston Celtics,Miami Heat,Boston Celtics,2.54,1.56,Boston Celtics,Boston Celtics,0.523,N,104,112,Boston Celtics,2.54
53,2016-11-28,00:30,New York Knicks vs Oklahoma City Thunder,New York Knicks,Oklahoma City Thunder,1.95,1.92,Oklahoma City Thunder,New York Knicks,0.528,Y,103,112,Oklahoma City Thunder,1.95
54,2016-11-28,00:30,Toronto Raptors vs Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,1.05,13.42,Toronto Raptors,Toronto Raptors,0.968,N,122,95,Philadelphia 76ers,1.05
55,2016-11-28,01:00,Memphis Grizzlies vs Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,2.01,1.86,Charlotte Hornets,Memphis Grizzlies,0.576,Y,85,104,Charlotte Hornets,2.01
56,2016-11-28,01:00,Minnesota Timberwolves vs Utah Jazz,Minnesota Timberwolves,Utah Jazz,2.28,1.69,Utah Jazz,Utah Jazz,0.622,N,103,112,Utah Jazz,2.28
57,2016-11-28,03:30,Golden State Warriors vs Atlanta Hawks,Golden State Warriors,Atlanta Hawks,1.06,11.27,Golden State Warriors,Golden State Warriors,0.945,N,105,100,Atlanta Hawks,1.06
58,2016-11-29,00:00,Charlotte Hornets vs Detroit Pistons,Charlotte Hornets,Detroit Pistons,1.62,2.41,Charlotte Hornets,Charlotte Hornets,0.672,N,89,112,Detroit Pistons,1.62
59,2016-11-29,00:30,Brooklyn Nets vs Los Angeles Clippers,Brooklyn Nets,Los Angeles Clippers,6.16,1.15,Los Angeles Clippers,Los Angeles Clippers,0.868,N,127,122OT,Los Angeles Clippers,6.16
60,2016-11-29,01:00,Milwaukee Bucks vs Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,3.64,1.32,Cleveland Cavaliers,Cleveland Cavaliers,0.645,N,118,101,Cleveland Cavaliers,3.64
61,2016-11-29,01:00,New Orleans Pelicans vs Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers,1.46,2.88,New Orleans Pelicans,New Orleans Pelicans,0.702,N,105,88,Los Angeles Lakers,1.46
62,2016-11-29,01:30,San Antonio Spurs vs Orlando Magic,San Antonio Spurs,Orlando Magic,1.09,8.71,San Antonio Spurs,San Antonio Spurs,0.924,N,83,95,Orlando Magic,1.09
63,2016-11-29,02:00,Utah Jazz vs Houston Rockets,Utah Jazz,Houston Rockets,2.0,1.87,Houston Rockets,Utah Jazz,0.555,Y,120,101,Houston Rockets,2.0
64,2016-11-30,00:30,Boston Celtics vs Detroit Pistons,Boston Celtics,Detroit Pistons,1.36,3.31,Boston Celtics,Boston Celtics,0.69,N,114,121,Detroit Pistons,1.36
65,2016-11-30,00:30,Toronto Raptors vs Memphis Grizzlies,Toronto Raptors,Memphis Grizzlies,1.08,9.62,Toronto Raptors,Toronto Raptors,0.901,N,120,105,Memphis Grizzlies,1.08
66,2016-11-30,01:00,Chicago Bulls vs Los Angeles Lakers,Chicago Bulls,Los Angeles Lakers,1.18,5.44,Chicago Bulls,Chicago Bulls,0.843,N,90,96,Los Angeles Lakers,1.18
67,2016-11-30,01:00,Minnesota Timberwolves vs New York Knicks,Minnesota Timberwolves,New York Knicks,1.58,2.49,Minnesota Timberwolves,Minnesota Timberwolves,0.643,N,104,106,New York Knicks,1.58
68,2016-11-30,01:00,Oklahoma City Thunder vs Washington Wizards,Oklahoma City Thunder,Washington Wizards,1.46,2.87,Oklahoma City Thunder,Oklahoma City Thunder,0.71,N,126,115OT,Washington Wizards,1.46
69,2016-11-30,01:30,Dallas Mavericks vs San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,4.4,1.24,San Antonio Spurs,San Antonio Spurs,0.778,N,87,94,San Antonio Spurs,4.4
70,2016-11-30,02:00,Denver Nuggets vs Miami Heat,Denver Nuggets,Miami Heat,1.4,3.14,Denver Nuggets,Denver Nuggets,0.642,N,98,106,Miami Heat,1.4
71,2016-11-30,02:00,Phoenix Suns vs Atlanta Hawks,Phoenix Suns,Atlanta Hawks,2.58,1.55,Atlanta Hawks,Atlanta Hawks,0.582,N,109,107,Atlanta Hawks,2.58
72,2016-11-30,03:00,Portland Trail Blazers vs Indiana Pacers,Portland Trail Blazers,Indiana Pacers,1.31,3.65,Portland Trail Blazers,Portland Trail Blazers,0.625,N,131,109,Indiana Pacers,1.31
73,2016-12-01,00:00,Charlotte Hornets vs Dallas Mavericks,Charlotte Hornets,Dallas Mavericks,1.12,7.16,Charlotte Hornets,Charlotte Hornets,0.837,N,97,87,Dallas Mavericks,1.12
74,2016-12-01,00:30,Brooklyn Nets vs Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,2.89,1.45,Milwaukee Bucks,Milwaukee Bucks,0.694,N,93,111,Milwaukee Bucks,2.89
75,2016-12-01,01:00,Cleveland Cavaliers vs Los Angeles Clippers,Cleveland Cavaliers,Los Angeles Clippers,1.59,2.47,Cleveland Cavaliers,Cleveland Cavaliers,0.67,N,94,113,Los Angeles Clippers,1.59
76,2016-12-01,01:00,Memphis Grizzlies vs Orlando Magic,Memphis Grizzlies,Orlando Magic,2.52,1.57,Orlando Magic,Memphis Grizzlies,0.804,Y,95,94,Orlando Magic,2.52
77,2016-12-01,02:00,Utah Jazz vs Miami Heat,Utah Jazz,Miami Heat,1.32,3.65,Utah Jazz,Utah Jazz,0.847,N,110,111,Miami Heat,1.32
78,2016-12-01,03:30,Golden State Warriors vs Houston Rockets,Golden State Warriors,Houston Rockets,1.15,6.13,Golden State Warriors,Golden State Warriors,0.808,N,127,132OT,Houston Rockets,1.15
79,2016-12-02,00:00,Philadelphia 76ers vs Orlando Magic,Philadelphia 76ers,Orlando Magic,1.83,2.06,Philadelphia 76ers,Philadelphia 76ers,0.549,N,88,105,Orlando Magic,1.83
80,2016-12-02,00:30,Boston Celtics vs Sacramento Kings,Boston Celtics,Sacramento Kings,1.4,3.13,Boston Celtics,Boston Celtics,0.78,N,97,92,Sacramento Kings,1.4
81,2016-12-02,00:30,New York Knicks vs Minnesota Timberwolves,New York Knicks,Minnesota Timberwolves,2.18,1.74,Minnesota Timberwolves,New York Knicks,0.642,Y,118,114,Minnesota Timberwolves,2.18
82,2016-12-02,00:30,Toronto Raptors vs Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,1.2,5.09,Toronto Raptors,Toronto Raptors,0.954,N,113,80,Los Angeles Lakers,1.2
83,2016-12-02,01:00,Atlanta Hawks vs Detroit Pistons,Atlanta Hawks,Detroit Pistons,1.81,2.07,Atlanta Hawks,Atlanta Hawks,0.549,N,85,121,Detroit Pistons,1.81
84,2016-12-02,01:00,Chicago Bulls vs Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,2.1,1.8,Cleveland Cavaliers,Cleveland Cavaliers,0.644,N,111,105,Cleveland Cavaliers,2.1
85,2016-12-02,01:00,New Orleans Pelicans vs Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,2.57,1.55,Los Angeles Clippers,Los Angeles Clippers,0.785,N,96,114,Los Angeles Clippers,2.57
86,2016-12-02,01:30,San Antonio Spurs vs Washington Wizards,San Antonio Spurs,Washington Wizards,1.22,4.62,San Antonio Spurs,San Antonio Spurs,0.856,N,107,105,Washington Wizards,1.22
87,2016-12-02,03:30,Denver Nuggets vs Houston Rockets,Denver Nuggets,Houston Rockets,1.63,2.37,Denver Nuggets,Houston Rockets,0.712,Y,110,128,Houston Rockets,1.63
88,2016-12-03,00:30,Philadelphia 76ers vs Boston Celtics,Philadelphia 76ers,Boston Celtics,5.14,1.19,Boston Celtics,Boston Celtics,0.729,N,106,107,Boston Celtics,5.14
89,2016-12-03,00:30,Toronto Raptors vs Atlanta Hawks,Toronto Raptors,Atlanta Hawks,1.26,4.13,Toronto Raptors,Toronto Raptors,0.92,N,128,84,Atlanta Hawks,1.26
90,2016-12-03,01:00,Memphis Grizzlies vs Los Angeles Lakers,Memphis Grizzlies,Los Angeles Lakers,1.74,2.19,Memphis Grizzlies,Memphis Grizzlies,0.805,N,103,100,Los Angeles Lakers,1.74
91,2016-12-03,01:30,Dallas Mavericks vs Chicago Bulls,Dallas Mavericks,Chicago Bulls,2.39,1.63,Chicago Bulls,Chicago Bulls,0.609,N,107,82,Chicago Bulls,2.39
92,2016-12-03,02:00,Utah Jazz vs Denver Nuggets,Utah Jazz,Denver Nuggets,1.33,3.5,Utah Jazz,Utah Jazz,0.847,N,105,98,Denver Nuggets,1.33
93,2016-12-03,03:00,Portland Trail Blazers vs Miami Heat,Portland Trail Blazers,Miami Heat,1.43,3.0,Portland Trail Blazers,Portland Trail Blazers,0.609,N,99,92,Miami Heat,1.43
94,2016-12-03,03:30,Golden State Warriors vs Phoenix Suns,Golden State Warriors,Phoenix Suns,1.03,17.44,Golden State Warriors,Golden State Warriors,0.977,N,138,109,Phoenix Suns,1.03
95,2016-12-04,00:00,Oklahoma City Thunder vs New Orleans Pelicans,Oklahoma City Thunder,New Orleans Pelicans,1.4,3.15,Oklahoma City Thunder,Oklahoma City Thunder,0.792,N,101,92,New Orleans Pelicans,1.4
96,2016-12-04,00:30,New York Knicks vs Sacramento Kings,New York Knicks,Sacramento Kings,1.83,2.05,New York Knicks,New York Knicks,0.65,N,106,98,Sacramento Kings,1.83
97,2016-12-04,02:30,Los Angeles Clippers vs Indiana Pacers,Los Angeles Clippers,Indiana Pacers,1.14,6.33,Los Angeles Clippers,Los Angeles Clippers,0.909,N,102,111,Indiana Pacers,1.14
98,2016-12-05,00:00,Philadelphia 76ers vs Denver Nuggets,Philadelphia 76ers,Denver Nuggets,2.58,1.55,Denver Nuggets,Denver Nuggets,0.576,N,98,106,Denver Nuggets,2.58
99,2016-12-05,00:30,Atlanta Hawks vs Oklahoma City Thunder,Atlanta Hawks,Oklahoma City Thunder,1.58,2.52,Atlanta Hawks,Atlanta Hawks,0.539,N,99,102,Oklahoma City Thunder,1.58
100,2016-12-05,00:30,Brooklyn Nets vs Washington Wizards,Brooklyn Nets,Washington Wizards,3.23,1.38,Washington Wizards,Washington Wizards,0.609,N,113,118,Washington Wizards,3.23
101,2016-12-05,00:30,Toronto Raptors vs Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,1.81,2.08,Toronto Raptors,Toronto Raptors,0.682,N,112,116,Cleveland Cavaliers,1.81
102,2016-12-05,01:00,Chicago Bulls vs Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,1.6,2.45,Chicago Bulls,Chicago Bulls,0.788,N,110,112,Portland Trail Blazers,1.6
103,2016-12-05,01:00,Houston Rockets vs Boston Celtics,Houston Rockets,Boston Celtics,1.46,2.88,Houston Rockets,Houston Rockets,0.801,N,107,106,Boston Celtics,1.46
104,2016-12-05,01:00,Milwaukee Bucks vs San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,3.13,1.4,San Antonio Spurs,San Antonio Spurs,0.558,N,96,97,San Antonio Spurs,3.13
105,2016-12-05,01:00,New Orleans Pelicans vs Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,1.55,2.58,New Orleans Pelicans,New Orleans Pelicans,0.507,N,108,110OT,Memphis Grizzlies,1.55
106,2016-12-05,01:30,Dallas Mavericks vs Charlotte Hornets,Dallas Mavericks,Charlotte Hornets,2.42,1.62,Charlotte Hornets,Charlotte Hornets,0.613,N,101,109,Charlotte Hornets,2.42
107,2016-12-05,03:30,Golden State Warriors vs Indiana Pacers,Golden State Warriors,Indiana Pacers,1.07,10.81,Golden State Warriors,Golden State Warriors,0.952,N,142,106,Indiana Pacers,1.07
108,2016-12-05,03:30,Los Angeles Lakers vs Utah Jazz,Los Angeles Lakers,Utah Jazz,2.61,1.54,Utah Jazz,Utah Jazz,0.74,N,101,107,Utah Jazz,2.61
109,2016-12-06,00:00,Washington Wizards vs Orlando Magic,Washington Wizards,Orlando Magic,1.68,2.27,Washington Wizards,Washington Wizards,0.786,N,116,124,Orlando Magic,1.68
110,2016-12-06,00:30,Detroit Pistons vs Chicago Bulls,Detroit Pistons,Chicago Bulls,1.43,3.0,Detroit Pistons,Detroit Pistons,0.616,N,102,91,Chicago Bulls,1.43
111,2016-12-06,00:30,Miami Heat vs New York Knicks,Miami Heat,New York Knicks,1.86,2.01,Miami Heat,Miami Heat,0.635,N,103,114,New York Knicks,1.86
112,2016-12-06,01:00,Memphis Grizzlies vs Philadelphia 76ers,Memphis Grizzlies,Philadelphia 76ers,1.32,3.57,Memphis Grizzlies,Memphis Grizzlies,0.859,N,96,91,Philadelphia 76ers,1.32
113,2016-12-06,01:00,Minnesota Timberwolves vs San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,2.51,1.57,San Antonio Spurs,San Antonio Spurs,0.684,N,91,105,San Antonio Spurs,2.51
114,2016-12-06,02:00,Utah Jazz vs Phoenix Suns,Utah Jazz,Phoenix Suns,1.35,3.43,Utah Jazz,Utah Jazz,0.928,N,112,105,Phoenix Suns,1.35
115,2016-12-07,00:00,Charlotte Hornets vs Detroit Pistons,Charlotte Hornets,Detroit Pistons,1.45,2.92,Charlotte Hornets,Charlotte Hornets,0.672,N,87,77,Detroit Pistons,1.45
116,2016-12-07,00:00,Orlando Magic vs Boston Celtics,Orlando Magic,Boston Celtics,2.04,1.84,Boston Celtics,Boston Celtics,0.646,N,87,117,Boston Celtics,2.04
117,2016-12-07,00:30,Atlanta Hawks vs Miami Heat,Atlanta Hawks,Miami Heat,1.23,4.61,Atlanta Hawks,Atlanta Hawks,0.66,N,103,95,Miami Heat,1.23
118,2016-12-07,00:30,Brooklyn Nets vs Denver Nuggets,Brooklyn Nets,Denver Nuggets,2.61,1.54,Denver Nuggets,Denver Nuggets,0.559,N,116,111,Denver Nuggets,2.61
119,2016-12-07,01:00,Houston Rockets vs Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,1.07,10.31,Houston Rockets,Houston Rockets,0.93,N,134,95,Los Angeles Lakers,1.07
120,2016-12-07,01:00,Milwaukee Bucks vs Portland Trail Blazers,Milwaukee Bucks,Portland Trail Blazers,1.82,2.07,Milwaukee Bucks,Milwaukee Bucks,0.787,N,115,107,Portland Trail Blazers,1.82
121,2016-12-07,01:00,New York Knicks vs Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,4.14,1.26,Cleveland Cavaliers,Cleveland Cavaliers,0.758,N,94,126,Cleveland Cavaliers,4.14
