Year,Week,Player_A,Player_B,True_Result
2013,2013-05-27,Angelique Kerber,Svetlana Kuznetsova,L
2013,2013-05-06,Angelique Kerber,Su-Wei Hsieh,W
2013,2013-05-06,Angelique Kerber,Alize Cornet,W
2013,2013-05-06,Angelique Kerber,Svetlana Kuznetsova,W
2013,2013-05-06,Angelique Kerber,Ana Ivanovic,L
2013,2013-04-22,Angelique Kerber,Anastasia Pavlyuchenkova,W
2013,2013-04-22,Angelique Kerber,Yaroslava Shvedova,W
2013,2013-04-22,Angelique Kerber,Maria Sharapova,L
2013,2013-04-20,Angelique Kerber,Bojana Jovanovski,W
2013,2013-04-20,Angelique Kerber,Ana Ivanovic,L
2013,2013-04-01,Angelique Kerber,Samantha Crawford,W
2013,2013-04-01,Angelique Kerber,Alla Kudryavtseva,W
2013,2013-04-01,Angelique Kerber,Ayumi Morita,W
2013,2013-04-01,Angelique Kerber,Maria Kirilenko,W
2013,2013-04-01,Angelique Kerber,Anastasia Pavlyuchenkova,L
2013,2013-03-18,Angelique Kerber,Francesca Schiavone,W
2013,2013-03-18,Angelique Kerber,Sorana Cirstea,L
2013,2013-03-06,Angelique Kerber,Irina-Camelia Begu,W
2013,2013-03-06,Angelique Kerber,Yanina Wickmayer,W
2013,2013-03-06,Angelique Kerber,Garbine Muguruza,W
2013,2013-03-06,Angelique Kerber,Samantha Stosur,W
2013,2013-03-06,Angelique Kerber,Caroline Wozniacki,L
2013,2013-02-18,Angelique Kerber,Roberta Vinci,L
2013,2013-02-11,Angelique Kerber,Mona Barthel,L
2013,2013-01-14,Angelique Kerber,Elina Svitolina,W
2013,2013-01-14,Angelique Kerber,Lucie Hradecka,W
2013,2013-01-14,Angelique Kerber,Madison Keys,W
2013,2013-01-14,Angelique Kerber,Ekaterina Makarova,L
2013,2013-01-07,Angelique Kerber,Galina Voskoboeva,W
2013,2013-01-07,Angelique Kerber,Svetlana Kuznetsova,W
2013,2013-01-07,Angelique Kerber,Dominika Cibulkova,L
2013,2013-01-01,Angelique Kerber,Anna Tatishvili,W
2013,2013-01-01,Angelique Kerber,Monica Puig,W
2013,2013-01-01,Angelique Kerber,Anastasia Pavlyuchenkova,L
2012,2012-10-23,Angelique Kerber,Serena Williams,L
2012,2012-10-23,Angelique Kerber,Victoria Azarenka,L
2012,2012-10-23,Angelique Kerber,Na Li,L
2012,2012-10-01,Angelique Kerber,Lara Arruabarrena,W
2012,2012-10-01,Angelique Kerber,Caroline Wozniacki,W
2012,2012-10-01,Angelique Kerber,Maria Sharapova,L
2012,2012-09-24,Angelique Kerber,Ayumi Morita,W
2012,2012-09-24,Angelique Kerber,Urszula Radwanska,W
2012,2012-09-24,Angelique Kerber,Victoria Azarenka,W
2012,2012-09-24,Angelique Kerber,Agnieszka Radwanska,L
2012,2012-08-27,Angelique Kerber,Anne Keothavong,W
2012,2012-08-27,Angelique Kerber,Venus Williams,W
2012,2012-08-27,Angelique Kerber,Olga Govortsova,W
2012,2012-08-27,Angelique Kerber,Sara Errani,L
2012,2012-08-13,Angelique Kerber,Timea Babos,W
2012,2012-08-13,Angelique Kerber,Andrea Hlavackova,W
2012,2012-08-13,Angelique Kerber,Serena Williams,W
2012,2012-08-13,Angelique Kerber,Petra Kvitova,W
2012,2012-08-13,Angelique Kerber,Na Li,L
2012,2012-08-06,Angelique Kerber,Ekaterina Makarova,W
2012,2012-08-06,Angelique Kerber,Roberta Vinci,L
2012,2012-07-28,Angelique Kerber,Petra Cetkovska,W
2012,2012-07-28,Angelique Kerber,Timea Babos,W
2012,2012-07-28,Angelique Kerber,Venus Williams,W
2012,2012-07-28,Angelique Kerber,Victoria Azarenka,L
2012,2012-06-25,Angelique Kerber,Lucie Hradecka,W
2012,2012-06-25,Angelique Kerber,Ekaterina Makarova,W
2012,2012-06-25,Angelique Kerber,Christina Mchale,W
2012,2012-06-25,Angelique Kerber,Kim Clijsters,W
2012,2012-06-25,Angelique Kerber,Sabine Lisicki,W
2012,2012-06-25,Angelique Kerber,Agnieszka Radwanska,L
2012,2012-06-18,Angelique Kerber,Elena Vesnina,W
2012,2012-06-18,Angelique Kerber,Chanelle Scheepers,W
2012,2012-06-18,Angelique Kerber,Ekaterina Makarova,W
2012,2012-06-18,Angelique Kerber,Klara Koukalova,W
2012,2012-06-18,Angelique Kerber,Tamira Paszek,L
2012,2012-05-28,Angelique Kerber,Shuai Zhang,W
2012,2012-05-28,Angelique Kerber,Olga Govortsova,W
2012,2012-05-28,Angelique Kerber,Flavia Pennetta,W
2012,2012-05-28,Angelique Kerber,Petra Martic,W
2012,2012-05-28,Angelique Kerber,Sara Errani,L
2012,2012-05-14,Angelique Kerber,Anastasia Rodionova,W
2012,2012-05-14,Angelique Kerber,Vania King,W
2012,2012-05-14,Angelique Kerber,Julia Goerges,W
2012,2012-05-14,Angelique Kerber,Petra Kvitova,W
2012,2012-05-14,Angelique Kerber,Maria Sharapova,L
2012,2012-05-07,Angelique Kerber,Johanna Larsson,W
2012,2012-05-07,Angelique Kerber,Venus Williams,W
2012,2012-05-07,Angelique Kerber,Na Li,L
2012,2012-04-23,Angelique Kerber,Roberta Vinci,W
2012,2012-04-23,Angelique Kerber,Caroline Wozniacki,W
2012,2012-04-23,Angelique Kerber,Petra Kvitova,L
2012,2012-04-21,Angelique Kerber,Samantha Stosur,L
2012,2012-04-21,Angelique Kerber,Jarmila Wolfe,W
2012,2012-04-09,Angelique Kerber,Stephanie Foretz,W
2012,2012-04-09,Angelique Kerber,Anne Keothavong,W
2012,2012-04-09,Angelique Kerber,Mona Barthel,W
2012,2012-04-09,Angelique Kerber,Jelena Jankovic,W
2012,2012-04-09,Angelique Kerber,Caroline Wozniacki,W
2012,2012-03-20,Angelique Kerber,Jie Zheng,L
2012,2012-03-07,Angelique Kerber,Sloane Stephens,W
2012,2012-03-07,Angelique Kerber,Vania King,W
2012,2012-03-07,Angelique Kerber,Christina Mchale,W
2012,2012-03-07,Angelique Kerber,Na Li,W
2012,2012-03-07,Angelique Kerber,Victoria Azarenka,L
2012,2012-02-13,Angelique Kerber,Sabine Lisicki,W
2012,2012-02-13,Angelique Kerber,Tsvetana Pironkova,L
2012,2012-02-06,Angelique Kerber,Lucie Safarova,W
2012,2012-02-06,Angelique Kerber,Monica Niculescu,W
2012,2012-02-06,Angelique Kerber,Maria Sharapova,W
2012,2012-02-06,Angelique Kerber,Yanina Wickmayer,W
2012,2012-02-06,Angelique Kerber,Marion Bartoli,W
2012,2012-02-04,Angelique Kerber,Lucie Hradecka,W
2012,2012-01-16,Angelique Kerber,Bojana Bobusic,W
2012,2012-01-16,Angelique Kerber,Stephanie Dubois,W
2012,2012-01-16,Angelique Kerber,Maria Sharapova,L
