ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
84,ligue-1,2016-08-28,14:00,Bordeaux vs Nantes,Bordeaux,Nantes,2.12,3.09,4.01,Bordeaux,Bordeaux,0.534,N,1,0,Bordeaux,2.12
85,bundesliga,2016-08-28,14:30,Hertha Berlin vs Freiburg,Hertha Berlin,Freiburg,1.99,3.45,4.01,Hertha Berlin,Hertha Berlin,0.571,N,2,1,Hertha Berlin,1.99
86,premier-league,2016-08-28,16:00,Manchester City vs West Ham Utd,Manchester City,West Ham Utd,1.26,6.38,11.84,Manchester City,Manchester City,0.647,N,3,1,Manchester City,1.26
87,ligue-1,2016-08-28,16:00,Saint-Etienne vs Toulouse,Saint-Etienne,Toulouse,2.18,3.14,3.73,Saint-Etienne,Saint-Etienne,0.483,N,0,0,Draw,3.14
88,bundesliga,2016-08-28,16:30,Hoffenheim vs RB Leipzig,Hoffenheim,RB Leipzig,2.43,3.41,2.98,Hoffenheim,Hoffenheim,0.397,N,2,2,Draw,3.41
89,serie-a,2016-08-28,17:00,Inter Milan vs Palermo,Inter Milan,Palermo,1.31,5.47,10.69,Inter Milan,Inter Milan,0.655,N,1,1,Draw,5.47
90,laliga,2016-08-28,17:15,Alaves vs Sporting Gijon,Alaves,Sporting Gijon,2.42,3.16,3.24,Alaves,Alaves,0.588,N,0,0,Draw,3.16
91,laliga,2016-08-28,17:15,Las Palmas vs Granada,Las Palmas,Granada,1.83,3.65,4.63,Las Palmas,Las Palmas,0.607,N,5,1,Las Palmas,1.83
92,laliga,2016-08-28,19:15,Athletic Bilbao vs FC Barcelona,Athletic Bilbao,FC Barcelona,6.03,4.3,1.56,FC Barcelona,FC Barcelona,0.413,N,0,1,FC Barcelona,1.56
93,serie-a,2016-08-28,19:45,Crotone vs Genoa,Crotone,Genoa,6.13,3.89,1.61,Genoa,Genoa,0.468,N,1,3,Genoa,1.61
94,serie-a,2016-08-28,19:45,Udinese vs Empoli,Udinese,Empoli,2.05,3.33,3.95,Udinese,Udinese,0.564,N,2,0,Udinese,2.05
95,serie-a,2016-08-28,19:45,Torino vs Bologna,Torino,Bologna,1.89,3.37,4.65,Torino,Torino,0.536,N,5,1,Torino,1.89
96,serie-a,2016-08-28,19:45,Cagliari vs AS Roma,Cagliari,AS Roma,5.18,4.09,1.66,AS Roma,AS Roma,0.493,N,2,2,Draw,4.09
97,serie-a,2016-08-28,19:45,Fiorentina vs Chievo,Fiorentina,Chievo,1.65,3.7,6.11,Fiorentina,Fiorentina,0.502,N,1,0,Fiorentina,1.65
98,serie-a,2016-08-28,19:45,Sampdoria vs Atalanta,Sampdoria,Atalanta,2.49,3.22,3.06,Sampdoria,Atalanta,0.389,Y,2,1,Sampdoria,2.49
99,ligue-1,2016-08-28,19:45,Monaco vs Paris SG,Monaco,Paris SG,4.54,3.67,1.83,Paris SG,Monaco,0.512,Y,3,1,Monaco,4.54
100,laliga,2016-08-28,21:15,Villarreal vs FC Sevilla,Villarreal,FC Sevilla,2.39,3.41,3.05,Villarreal,Villarreal,0.436,N,0,0,Draw,3.41
101,bundesliga,2016-09-09,19:30,Schalke 04 vs Bayern Munich,Schalke 04,Bayern Munich,10.76,5.78,1.3,Bayern Munich,Bayern Munich,0.592,N,0,2,Bayern Munich,1.3
102,laliga,2016-09-09,19:45,Real Sociedad vs Espanyol,Real Sociedad,Espanyol,2.0,3.5,3.96,Real Sociedad,Real Sociedad,0.518,N,1,1,Draw,3.5
103,ligue-1,2016-09-09,19:45,Paris SG vs Saint-Etienne,Paris SG,Saint-Etienne,1.37,4.97,9.36,Paris SG,Paris SG,0.581,N,1,1,Draw,4.97
104,laliga,2016-09-10,12:00,Celta Vigo vs Atletico Madrid,Celta Vigo,Atletico Madrid,5.8,3.53,1.72,Atletico Madrid,Atletico Madrid,0.396,N,0,4,Atletico Madrid,1.72
105,premier-league,2016-09-10,12:30,Manchester Utd vs Manchester City,Manchester Utd,Manchester City,2.4,3.09,3.39,Manchester Utd,Manchester Utd,0.403,N,1,2,Manchester City,3.39
106,bundesliga,2016-09-10,14:30,Leverkusen vs Hamburger SV,Leverkusen,Hamburger SV,1.54,4.34,6.36,Leverkusen,Leverkusen,0.547,N,3,1,Leverkusen,1.54
107,bundesliga,2016-09-10,14:30,Darmstadt vs Frankfurt,Darmstadt,Frankfurt,3.29,3.33,2.29,Frankfurt,Frankfurt,0.605,N,1,0,Darmstadt,3.29
108,bundesliga,2016-09-10,14:30,Ingolstadt vs Hertha Berlin,Ingolstadt,Hertha Berlin,2.34,3.13,3.38,Ingolstadt,Hertha Berlin,0.543,Y,0,2,Hertha Berlin,3.38
109,bundesliga,2016-09-10,14:30,Freiburg vs Monchengladb.,Freiburg,Monchengladb.,3.68,3.68,2.01,Monchengladb.,Freiburg,0.529,Y,3,1,Freiburg,3.68
110,bundesliga,2016-09-10,14:30,Wolfsburg vs FC Koln,Wolfsburg,FC Koln,1.81,3.76,4.53,Wolfsburg,FC Koln,0.419,Y,0,0,Draw,3.76
111,laliga,2016-09-10,15:00,Real Madrid vs Osasuna,Real Madrid,Osasuna,1.06,15.4,37.89,Real Madrid,Real Madrid,0.699,N,5,2,Real Madrid,1.06
112,premier-league,2016-09-10,15:00,Stoke City vs Tottenham,Stoke City,Tottenham,4.18,3.61,1.93,Tottenham,Tottenham,0.489,N,0,4,Tottenham,1.93
113,premier-league,2016-09-10,15:00,Arsenal vs Southampton,Arsenal,Southampton,1.62,4.0,6.02,Arsenal,Arsenal,0.602,N,2,1,Arsenal,1.62
114,premier-league,2016-09-10,15:00,Burnley vs Hull City,Burnley,Hull City,2.56,3.1,3.11,Burnley,Burnley,0.555,N,1,1,Draw,3.1
115,premier-league,2016-09-10,15:00,Bournemouth vs West Bromwich,Bournemouth,West Bromwich,2.11,3.18,4.06,Bournemouth,Bournemouth,0.426,N,1,0,Bournemouth,2.11
116,premier-league,2016-09-10,15:00,Middlesbrough vs Crystal Palace,Middlesbrough,Crystal Palace,2.4,3.15,3.32,Middlesbrough,Middlesbrough,0.502,N,1,2,Crystal Palace,3.32
117,ligue-1,2016-09-10,16:00,Lyon vs Bordeaux,Lyon,Bordeaux,1.61,4.12,5.57,Lyon,Lyon,0.561,N,1,3,Bordeaux,5.57
118,serie-a,2016-09-10,17:00,Juventus vs Sassuolo,Juventus,Sassuolo,1.31,5.26,11.74,Juventus,Juventus,0.695,N,3,1,Juventus,1.31
119,laliga,2016-09-10,17:15,FC Sevilla vs Las Palmas,FC Sevilla,Las Palmas,1.52,4.52,6.35,FC Sevilla,FC Sevilla,0.581,N,2,1,FC Sevilla,1.52
120,laliga,2016-09-10,17:15,Malaga vs Villarreal,Malaga,Villarreal,2.45,3.08,3.27,Malaga,Villarreal,0.398,Y,0,2,Villarreal,3.27
121,bundesliga,2016-09-10,17:30,RB Leipzig vs Dortmund,RB Leipzig,Dortmund,5.67,4.24,1.6,Dortmund,RB Leipzig,0.547,Y,1,0,RB Leipzig,5.67
122,premier-league,2016-09-10,17:30,Liverpool vs Leicester City,Liverpool,Leicester City,1.68,4.02,5.35,Liverpool,Liverpool,0.681,N,4,1,Liverpool,1.68
