ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
525,ligue-1,2016-11-18,19:45,Lyon @ Lille,Lyon,Lille,2.51,3.16,3.06,Lyon,Lyon,0.48,N,1,0,Lyon,2.51
537,ligue-1,2016-11-19,16:00,Nantes @ Paris SG,Nantes,Paris SG,14.83,6.64,1.21,Paris SG,Paris SG,0.637,N,0,2,Paris SG,1.21
540,ligue-1,2016-11-19,19:00,Angers @ Rennes,Angers,Rennes,3.47,3.02,2.36,Rennes,Rennes,0.556,N,1,1,Draw,3.02
541,ligue-1,2016-11-19,19:00,Montpellier @ Bastia,Montpellier,Bastia,2.66,3.11,2.88,Montpellier,Bastia,0.433,Y,1,1,Draw,3.11
542,ligue-1,2016-11-19,19:00,Dijon @ Nancy,Dijon,Nancy,3.84,3.28,2.09,Nancy,Nancy,0.488,N,0,1,Nancy,2.09
543,ligue-1,2016-11-19,19:00,Metz @ Toulouse,Metz,Toulouse,6.86,4.12,1.53,Toulouse,Toulouse,0.528,N,2,1,Metz,6.86
551,ligue-1,2016-11-20,14:00,Bordeaux @ Guingamp,Bordeaux,Guingamp,3.01,3.18,2.52,Guingamp,Guingamp,0.516,N,1,1,Draw,3.18
553,ligue-1,2016-11-20,16:00,Caen @ Marseille,Caen,Marseille,4.77,3.68,1.78,Marseille,Marseille,0.586,N,0,1,Marseille,1.78
554,ligue-1,2016-11-20,19:45,Nice @ Saint-Etienne,Nice,Saint-Etienne,3.58,3.18,2.22,Saint-Etienne,Nice,0.522,Y,1,0,Nice,3.58
556,ligue-1,2016-11-25,19:45,Toulouse @ Rennes,Toulouse,Rennes,3.22,3.16,2.4,Rennes,Rennes,0.476,N,0,1,Rennes,2.4
562,ligue-1,2016-11-26,16:10,Marseille @ Monaco,Marseille,Monaco,5.42,3.85,1.67,Monaco,Monaco,0.597,N,0,4,Monaco,1.67
564,ligue-1,2016-11-26,19:00,Dijon @ Bordeaux,Dijon,Bordeaux,5.84,3.92,1.62,Bordeaux,Bordeaux,0.536,N,2,3,Bordeaux,1.62
565,ligue-1,2016-11-26,19:00,Lille @ Nantes,Lille,Nantes,3.35,2.93,2.47,Nantes,Nantes,0.468,N,0,0,Draw,2.93
566,ligue-1,2016-11-26,19:00,Nancy @ Montpellier,Nancy,Montpellier,4.5,3.53,1.86,Montpellier,Montpellier,0.478,N,0,0,Draw,3.53
567,ligue-1,2016-11-26,19:00,Guingamp @ Caen,Guingamp,Caen,3.31,3.12,2.36,Caen,Guingamp,0.44,Y,1,1,Draw,3.12
568,ligue-1,2016-11-26,19:00,Lorient @ Metz,Lorient,Metz,2.95,3.24,2.51,Metz,Metz,0.548,N,3,3,Draw,3.24
570,ligue-1,2016-11-27,14:00,Saint-Etienne @ Angers,Saint-Etienne,Angers,3.22,2.85,2.59,Angers,Saint-Etienne,0.392,Y,2,1,Saint-Etienne,3.22
572,ligue-1,2016-11-27,16:00,Bastia @ Nice,Bastia,Nice,5.98,3.75,1.64,Nice,Nice,0.671,N,1,1,Draw,3.75
