ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
346,laliga,2016-10-15,17:30,Atletico Madrid vs Granada,Atletico Madrid,Granada,1.11,9.94,28.47,Atletico Madrid,Atletico Madrid,0.664,N,7,1,Atletico Madrid,1.11
352,laliga,2016-10-15,19:45,Real Betis vs Real Madrid,Real Betis,Real Madrid,10.24,6.02,1.29,Real Madrid,Real Madrid,0.592,N,1,6,Real Madrid,1.29
354,laliga,2016-10-16,11:00,Alaves vs Malaga,Alaves,Malaga,2.83,3.01,2.81,Malaga,Alaves,0.464,Y,1,1,Draw,3.01
362,laliga,2016-10-16,15:15,Athletic Bilbao vs Real Sociedad,Athletic Bilbao,Real Sociedad,1.85,3.48,4.7,Athletic Bilbao,Athletic Bilbao,0.428,N,3,2,Athletic Bilbao,1.85
366,laliga,2016-10-16,17:30,Sporting Gijon vs Valencia,Sporting Gijon,Valencia,3.37,3.41,2.23,Valencia,Sporting Gijon,0.444,Y,1,2,Valencia,2.23
367,laliga,2016-10-16,19:45,Villarreal vs Celta Vigo,Villarreal,Celta Vigo,2.04,3.35,4.0,Villarreal,Villarreal,0.57,N,5,0,Villarreal,2.04
369,laliga,2016-10-17,19:45,Eibar vs Osasuna,Eibar,Osasuna,1.61,4.0,5.98,Eibar,Eibar,0.62,N,2,3,Osasuna,5.98
372,laliga,2016-10-21,19:45,Osasuna vs Real Betis,Osasuna,Real Betis,2.54,3.24,2.97,Osasuna,Real Betis,0.444,Y,1,2,Real Betis,2.97
374,laliga,2016-10-22,12:00,Espanyol vs Eibar,Espanyol,Eibar,2.15,3.27,3.71,Espanyol,Espanyol,0.474,N,3,3,Draw,3.27
386,laliga,2016-10-22,15:15,Valencia vs FC Barcelona,Valencia,FC Barcelona,7.83,5.57,1.37,FC Barcelona,FC Barcelona,0.592,N,2,3,FC Barcelona,1.37
390,laliga,2016-10-22,17:30,Real Sociedad vs Alaves,Real Sociedad,Alaves,1.64,3.8,5.95,Real Sociedad,Real Sociedad,0.54,N,3,0,Real Sociedad,1.64
397,laliga,2016-10-22,19:45,Granada vs Sporting Gijon,Granada,Sporting Gijon,2.31,3.29,3.31,Granada,Granada,0.442,N,0,0,Draw,3.29
399,laliga,2016-10-23,11:00,Celta Vigo vs Deportivo,Celta Vigo,Deportivo,1.77,3.63,5.03,Celta Vigo,Celta Vigo,0.527,N,4,1,Celta Vigo,1.77
409,laliga,2016-10-23,15:15,FC Sevilla vs Atletico Madrid,FC Sevilla,Atletico Madrid,3.97,3.51,1.99,Atletico Madrid,FC Sevilla,0.504,Y,1,0,FC Sevilla,3.97
413,laliga,2016-10-23,17:30,Malaga vs Leganes,Malaga,Leganes,2.14,3.19,3.87,Malaga,Malaga,0.542,N,4,0,Malaga,2.14
