ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
90,laliga,2016-08-28,17:15,Sporting Gijon @ Alaves,Sporting Gijon,Alaves,3.24,3.16,2.42,Alaves,Alaves,0.588,N,0,0,Draw,3.16
91,laliga,2016-08-28,17:15,Granada @ Las Palmas,Granada,Las Palmas,4.63,3.65,1.83,Las Palmas,Las Palmas,0.607,N,1,5,Las Palmas,1.83
92,laliga,2016-08-28,19:15,FC Barcelona @ Athletic Bilbao,FC Barcelona,Athletic Bilbao,1.56,4.3,6.03,FC Barcelona,FC Barcelona,0.413,N,1,0,FC Barcelona,1.56
93,serie-a,2016-08-28,19:45,Genoa @ Crotone,Genoa,Crotone,1.61,3.89,6.13,Genoa,Genoa,0.468,N,3,1,Genoa,1.61
94,serie-a,2016-08-28,19:45,Empoli @ Udinese,Empoli,Udinese,3.95,3.33,2.05,Udinese,Udinese,0.564,N,0,2,Udinese,2.05
95,serie-a,2016-08-28,19:45,Bologna @ Torino,Bologna,Torino,4.65,3.37,1.89,Torino,Torino,0.536,N,1,5,Torino,1.89
96,serie-a,2016-08-28,19:45,AS Roma @ Cagliari,AS Roma,Cagliari,1.66,4.09,5.18,AS Roma,AS Roma,0.493,N,2,2,Draw,4.09
97,serie-a,2016-08-28,19:45,Chievo @ Fiorentina,Chievo,Fiorentina,6.11,3.7,1.65,Fiorentina,Fiorentina,0.502,N,0,1,Fiorentina,1.65
98,serie-a,2016-08-28,19:45,Atalanta @ Sampdoria,Atalanta,Sampdoria,3.06,3.22,2.49,Sampdoria,Atalanta,0.389,Y,1,2,Sampdoria,2.49
99,ligue-1,2016-08-28,19:45,Paris SG @ Monaco,Paris SG,Monaco,1.83,3.67,4.54,Paris SG,Monaco,0.512,Y,1,3,Monaco,4.54
100,laliga,2016-08-28,21:15,FC Sevilla @ Villarreal,FC Sevilla,Villarreal,3.05,3.41,2.39,Villarreal,Villarreal,0.436,N,0,0,Draw,3.41
101,bundesliga,2016-09-09,19:30,Bayern Munich @ Schalke 04,Bayern Munich,Schalke 04,1.3,5.78,10.76,Bayern Munich,Bayern Munich,0.592,N,2,0,Bayern Munich,1.3
102,laliga,2016-09-09,19:45,Espanyol @ Real Sociedad,Espanyol,Real Sociedad,3.96,3.5,2.0,Real Sociedad,Real Sociedad,0.518,N,1,1,Draw,3.5
103,ligue-1,2016-09-09,19:45,Saint-Etienne @ Paris SG,Saint-Etienne,Paris SG,9.36,4.97,1.37,Paris SG,Paris SG,0.581,N,1,1,Draw,4.97
104,laliga,2016-09-10,12:00,Atletico Madrid @ Celta Vigo,Atletico Madrid,Celta Vigo,1.72,3.53,5.8,Atletico Madrid,Atletico Madrid,0.396,N,4,0,Atletico Madrid,1.72
105,premier-league,2016-09-10,12:30,Manchester City @ Manchester Utd,Manchester City,Manchester Utd,3.39,3.09,2.4,Manchester Utd,Manchester Utd,0.403,N,2,1,Manchester City,3.39
106,bundesliga,2016-09-10,14:30,Hamburger SV @ Leverkusen,Hamburger SV,Leverkusen,6.36,4.34,1.54,Leverkusen,Leverkusen,0.547,N,1,3,Leverkusen,1.54
107,bundesliga,2016-09-10,14:30,Frankfurt @ Darmstadt,Frankfurt,Darmstadt,2.29,3.33,3.29,Frankfurt,Frankfurt,0.605,N,0,1,Darmstadt,3.29
108,bundesliga,2016-09-10,14:30,Hertha Berlin @ Ingolstadt,Hertha Berlin,Ingolstadt,3.38,3.13,2.34,Ingolstadt,Hertha Berlin,0.543,Y,2,0,Hertha Berlin,3.38
109,bundesliga,2016-09-10,14:30,Monchengladb. @ Freiburg,Monchengladb.,Freiburg,2.01,3.68,3.68,Monchengladb.,Freiburg,0.529,Y,1,3,Freiburg,3.68
110,bundesliga,2016-09-10,14:30,FC Koln @ Wolfsburg,FC Koln,Wolfsburg,4.53,3.76,1.81,Wolfsburg,FC Koln,0.419,Y,0,0,Draw,3.76
111,laliga,2016-09-10,15:00,Osasuna @ Real Madrid,Osasuna,Real Madrid,37.89,15.4,1.06,Real Madrid,Real Madrid,0.699,N,2,5,Real Madrid,1.06
112,premier-league,2016-09-10,15:00,Tottenham @ Stoke City,Tottenham,Stoke City,1.93,3.61,4.18,Tottenham,Tottenham,0.489,N,4,0,Tottenham,1.93
113,premier-league,2016-09-10,15:00,Southampton @ Arsenal,Southampton,Arsenal,6.02,4.0,1.62,Arsenal,Arsenal,0.602,N,1,2,Arsenal,1.62
114,premier-league,2016-09-10,15:00,Hull City @ Burnley,Hull City,Burnley,3.11,3.1,2.56,Burnley,Burnley,0.555,N,1,1,Draw,3.1
115,premier-league,2016-09-10,15:00,West Bromwich @ Bournemouth,West Bromwich,Bournemouth,4.06,3.18,2.11,Bournemouth,Bournemouth,0.426,N,0,1,Bournemouth,2.11
116,premier-league,2016-09-10,15:00,Crystal Palace @ Middlesbrough,Crystal Palace,Middlesbrough,3.32,3.15,2.4,Middlesbrough,Middlesbrough,0.502,N,2,1,Crystal Palace,3.32
117,ligue-1,2016-09-10,16:00,Bordeaux @ Lyon,Bordeaux,Lyon,5.57,4.12,1.61,Lyon,Lyon,0.561,N,3,1,Bordeaux,5.57
118,serie-a,2016-09-10,17:00,Sassuolo @ Juventus,Sassuolo,Juventus,11.74,5.26,1.31,Juventus,Juventus,0.695,N,1,3,Juventus,1.31
119,laliga,2016-09-10,17:15,Las Palmas @ FC Sevilla,Las Palmas,FC Sevilla,6.35,4.52,1.52,FC Sevilla,FC Sevilla,0.581,N,1,2,FC Sevilla,1.52
120,laliga,2016-09-10,17:15,Villarreal @ Malaga,Villarreal,Malaga,3.27,3.08,2.45,Malaga,Villarreal,0.398,Y,2,0,Villarreal,3.27
121,bundesliga,2016-09-10,17:30,Dortmund @ RB Leipzig,Dortmund,RB Leipzig,1.6,4.24,5.67,Dortmund,RB Leipzig,0.547,Y,0,1,RB Leipzig,5.67
122,premier-league,2016-09-10,17:30,Leicester City @ Liverpool,Leicester City,Liverpool,5.35,4.02,1.68,Liverpool,Liverpool,0.681,N,1,4,Liverpool,1.68
123,ligue-1,2016-09-10,19:00,Toulouse @ Bastia,Toulouse,Bastia,2.81,2.92,2.89,Toulouse,Bastia,0.389,Y,1,2,Bastia,2.89
124,ligue-1,2016-09-10,19:00,Nancy @ Lorient,Nancy,Lorient,3.12,3.13,2.48,Lorient,Lorient,0.37,N,2,0,Nancy,3.12
125,ligue-1,2016-09-10,19:00,Dijon @ Angers,Dijon,Angers,3.64,3.04,2.27,Angers,Angers,0.45,N,1,3,Angers,2.27
126,ligue-1,2016-09-10,19:00,Montpellier @ Guingamp,Montpellier,Guingamp,3.27,3.15,2.37,Guingamp,Guingamp,0.553,N,1,1,Draw,3.15
127,ligue-1,2016-09-10,19:00,Monaco @ Lille,Monaco,Lille,3.27,3.05,2.43,Lille,Monaco,0.569,Y,4,1,Monaco,3.27
