Season_Yr,Visitor_Team,Home_Team,Home_Team_PTS,Visitor_Team_PTS
2015,Washington Wizards,New York Knicks,102,91
2015,Oklahoma City Thunder,San Antonio Spurs,114,106
2015,Milwaukee Bucks,Atlanta Hawks,107,77
2015,Brooklyn Nets,Boston Celtics,109,107
2015,Los Angeles Lakers,Dallas Mavericks,98,102
2015,Minnesota Timberwolves,Denver Nuggets,102,106
2015,Indiana Pacers,Detroit Pistons,109,119
2015,Houston Rockets,Memphis Grizzlies,117,111
2015,San Antonio Spurs,New Orleans Pelicans,90,97
2015,Charlotte Hornets,Oklahoma City Thunder,75,98
2015,Cleveland Cavaliers,Orlando Magic,98,89
2015,Philadelphia 76ers,Portland Trail Blazers,93,114
2015,Phoenix Suns,Sacramento Kings,115,106
2015,Indiana Pacers,Brooklyn Nets,110,85
2015,New Orleans Pelicans,Chicago Bulls,100,107
2015,Orlando Magic,Charlotte Hornets,102,94
2015,Minnesota Timberwolves,Golden State Warriors,97,110
2015,Toronto Raptors,Los Angeles Clippers,110,98
2015,Memphis Grizzlies,Miami Heat,103,95
2015,Atlanta Hawks,Milwaukee Bucks,90,85
2015,New York Knicks,Sacramento Kings,129,135
2015,Philadelphia 76ers,Utah Jazz,71,88
2015,Boston Celtics,Washington Wizards,88,101
2015,Detroit Pistons,Cleveland Cavaliers,103,80
2015,Oklahoma City Thunder,Dallas Mavericks,107,112
2015,Toronto Raptors,Denver Nuggets,116,102
2015,Phoenix Suns,Los Angeles Lakers,116,107
2015,New York Knicks,Portland Trail Blazers,79,101
2015,Houston Rockets,San Antonio Spurs,106,110
2015,Sacramento Kings,Brooklyn Nets,99,107
2015,Milwaukee Bucks,Charlotte Hornets,104,94
2015,Washington Wizards,Houston Rockets,104,103
2015,Chicago Bulls,Indiana Pacers,92,90
2015,Utah Jazz,Los Angeles Clippers,97,101
2015,Orlando Magic,Miami Heat,102,101
2015,Cleveland Cavaliers,Atlanta Hawks,101,109
2015,Brooklyn Nets,Chicago Bulls,96,82
2015,Washington Wizards,Dallas Mavericks,87,114
2015,Los Angeles Lakers,Denver Nuggets,111,103
2015,Philadelphia 76ers,Golden State Warriors,86,126
2015,San Antonio Spurs,Memphis Grizzlies,87,95
2015,Phoenix Suns,New Orleans Pelicans,106,110
2015,Detroit Pistons,Orlando Magic,109,86
2015,Toronto Raptors,Portland Trail Blazers,97,102
2015,Minnesota Timberwolves,Utah Jazz,94,100
2015,Sacramento Kings,Boston Celtics,84,106
2015,Milwaukee Bucks,Cleveland Cavaliers,96,80
2015,Charlotte Hornets,Houston Rockets,83,102
2015,Miami Heat,Indiana Pacers,95,106
2015,New York Knicks,Los Angeles Clippers,78,99
2015,Phoenix Suns,Oklahoma City Thunder,134,137
2015,New Orleans Pelicans,San Antonio Spurs,93,95
2015,Denver Nuggets,Chicago Bulls,101,106
2015,Sacramento Kings,Minnesota Timberwolves,110,107
2015,Dallas Mavericks,Boston Celtics,119,101
2015,Cleveland Cavaliers,Charlotte Hornets,91,87
2015,Toronto Raptors,Golden State Warriors,105,126
2015,Memphis Grizzlies,Los Angeles Lakers,109,106
2015,Indiana Pacers,Milwaukee Bucks,94,91
2015,Houston Rockets,New Orleans Pelicans,83,111
2015,Detroit Pistons,New York Knicks,97,81
2015,Washington Wizards,Oklahoma City Thunder,102,109
2015,Brooklyn Nets,Orlando Magic,100,98
2015,Philadelphia 76ers,Phoenix Suns,96,112
2015,Atlanta Hawks,Utah Jazz,98,92
2015,Boston Celtics,Chicago Bulls,104,109
2015,Memphis Grizzlies,Denver Nuggets,85,114
2015,Miami Heat,Houston Rockets,79,115
2015,Philadelphia 76ers,Los Angeles Clippers,91,127
2015,Utah Jazz,Minnesota Timberwolves,101,89
2015,Charlotte Hornets,Orlando Magic,98,90
2015,Atlanta Hawks,Portland Trail Blazers,115,107
2015,Washington Wizards,San Antonio Spurs,92,101
2015,Dallas Mavericks,Cleveland Cavaliers,109,90
2015,Sacramento Kings,Detroit Pistons,95,114
2015,Indiana Pacers,Los Angeles Lakers,87,88
2015,Brooklyn Nets,Miami Heat,84,88
2015,Milwaukee Bucks,New York Knicks,95,82
2015,Toronto Raptors,Phoenix Suns,109,125
2015,Charlotte Hornets,Boston Celtics,104,95
2015,Dallas Mavericks,Brooklyn Nets,96,88
2015,Houston Rockets,Chicago Bulls,105,114
2015,Oklahoma City Thunder,Golden State Warriors,91,117
2015,Atlanta Hawks,Los Angeles Clippers,107,98
2015,New York Knicks,Memphis Grizzlies,83,105
2015,Denver Nuggets,Minnesota Timberwolves,110,101
2015,Washington Wizards,New Orleans Pelicans,92,85
2015,Cleveland Cavaliers,Philadelphia 76ers,92,95
2015,Los Angeles Lakers,Portland Trail Blazers,94,98
2015,Indiana Pacers,Utah Jazz,105,101
2015,Phoenix Suns,Milwaukee Bucks,102,96
2015,Detroit Pistons,San Antonio Spurs,105,104
2015,Memphis Grizzlies,Atlanta Hawks,86,96
2015,Boston Celtics,Brooklyn Nets,89,81
2015,Utah Jazz,Chicago Bulls,97,77
2015,New Orleans Pelicans,Charlotte Hornets,94,98
2015,Houston Rockets,Cleveland Cavaliers,105,93
