ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
72,2016-11-08,00:30,Minnesota Timberwolves @ Brooklyn Nets,Minnesota Timberwolves,Brooklyn Nets,1.55,2.57,Minnesota Timberwolves,Brooklyn Nets,0.561,Y,Brooklyn Nets,2.57
73,2016-11-08,01:00,Denver Nuggets @ Memphis Grizzlies,Denver Nuggets,Memphis Grizzlies,2.49,1.58,Memphis Grizzlies,Denver Nuggets,0.522,Y,Memphis Grizzlies,1.58
74,2016-11-08,03:00,Phoenix Suns @ Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,4.27,1.25,Portland Trail Blazers,Portland Trail Blazers,0.745,N,Portland Trail Blazers,1.25
75,2016-11-08,03:30,Dallas Mavericks @ Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,2.58,1.55,Los Angeles Lakers,Los Angeles Lakers,0.832,N,Dallas Mavericks,2.58
76,2016-11-08,03:30,New Orleans Pelicans @ Sacramento Kings,New Orleans Pelicans,Sacramento Kings,3.29,1.37,Sacramento Kings,Sacramento Kings,0.763,N,Sacramento Kings,1.37
77,2016-11-09,00:00,Utah Jazz @ Charlotte Hornets,Utah Jazz,Charlotte Hornets,2.3,1.68,Charlotte Hornets,Charlotte Hornets,0.651,N,Charlotte Hornets,1.68
78,2016-11-09,00:00,Philadelphia 76ers @ Indiana Pacers,Philadelphia 76ers,Indiana Pacers,7.41,1.11,Indiana Pacers,Indiana Pacers,0.822,N,Indiana Pacers,1.11
79,2016-11-09,00:00,Brooklyn Nets @ New York Knicks,Brooklyn Nets,New York Knicks,3.96,1.28,New York Knicks,New York Knicks,0.662,N,New York Knicks,1.28
80,2016-11-09,00:00,Minnesota Timberwolves @ Orlando Magic,Minnesota Timberwolves,Orlando Magic,2.22,1.71,Orlando Magic,Minnesota Timberwolves,0.697,Y,Minnesota Timberwolves,2.22
81,2016-11-09,00:00,Boston Celtics @ Washington Wizards,Boston Celtics,Washington Wizards,2.05,1.83,Washington Wizards,Washington Wizards,0.738,N,Washington Wizards,1.83
82,2016-11-09,00:30,Chicago Bulls @ Atlanta Hawks,Chicago Bulls,Atlanta Hawks,2.4,1.63,Atlanta Hawks,Atlanta Hawks,0.844,N,Atlanta Hawks,1.63
83,2016-11-09,01:00,Toronto Raptors @ Oklahoma City Thunder,Toronto Raptors,Oklahoma City Thunder,2.49,1.59,Oklahoma City Thunder,Oklahoma City Thunder,0.579,N,Toronto Raptors,2.49
84,2016-11-09,02:00,Detroit Pistons @ Phoenix Suns,Detroit Pistons,Phoenix Suns,1.55,2.58,Detroit Pistons,Detroit Pistons,0.537,N,Phoenix Suns,2.58
85,2016-11-09,02:30,Houston Rockets @ San Antonio Spurs,Houston Rockets,San Antonio Spurs,4.43,1.24,San Antonio Spurs,San Antonio Spurs,0.804,N,Houston Rockets,4.43
86,2016-11-09,03:30,Dallas Mavericks @ Golden State Warriors,Dallas Mavericks,Golden State Warriors,18.25,1.02,Golden State Warriors,Golden State Warriors,0.888,N,Golden State Warriors,1.02
87,2016-11-09,03:30,Portland Trail Blazers @ Los Angeles Clippers,Portland Trail Blazers,Los Angeles Clippers,6.14,1.15,Los Angeles Clippers,Los Angeles Clippers,0.974,N,Los Angeles Clippers,1.15
