ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
248,Milwaukee Bucks,0,Orlando Magic,1,1,0,0.749019161515,2016-11-27
249,Cleveland Cavaliers,0,Philadelphia 76ers,1,1,0,0.878005747114,2016-11-27
250,Denver Nuggets,0,Phoenix Suns,1,1,1,0.556442093144,2016-11-27
251,Houston Rockets,0,Portland Trail Blazers,1,1,1,0.514991098492,2016-11-27
252,Atlanta Hawks,0,Golden State Warriors,1,1,0,0.508414327915,2016-11-28
253,Charlotte Hornets,0,Memphis Grizzlies,1,1,0,0.777603607187,2016-11-28
254,Boston Celtics,0,Miami Heat,1,1,1,0.7910270734,2016-11-28
255,Utah Jazz,0,Minnesota Timberwolves,1,1,0,0.661542830943,2016-11-28
256,Oklahoma City Thunder,0,New York Knicks,1,1,0,0.703437116125,2016-11-28
257,Philadelphia 76ers,0,Toronto Raptors,1,1,1,0.966182556987,2016-11-28
258,Sacramento Kings,0,Washington Wizards,1,1,1,0.720444206034,2016-11-28
259,Los Angeles Clippers,0,Brooklyn Nets,1,1,0,0.954366982462,2016-11-29
260,Detroit Pistons,0,Charlotte Hornets,1,1,1,0.798084042371,2016-11-29
261,Cleveland Cavaliers,0,Milwaukee Bucks,1,1,0,0.601401805731,2016-11-29
262,Los Angeles Lakers,0,New Orleans Pelicans,1,1,0,0.71178080674,2016-11-29
263,Orlando Magic,0,San Antonio Spurs,1,1,1,0.973835629219,2016-11-29
264,Houston Rockets,0,Utah Jazz,1,1,1,0.743370692569,2016-11-29
265,Detroit Pistons,0,Boston Celtics,1,1,0,0.561564447138,2016-11-30
266,Los Angeles Lakers,0,Chicago Bulls,1,1,1,0.642285367926,2016-11-30
267,San Antonio Spurs,0,Dallas Mavericks,1,1,0,0.796468900205,2016-11-30
268,Miami Heat,0,Denver Nuggets,1,1,1,0.575121144451,2016-11-30
269,New York Knicks,0,Minnesota Timberwolves,1,1,1,0.699441775554,2016-11-30
270,Washington Wizards,0,Oklahoma City Thunder,1,1,1,0.84080435634,2016-11-30
