index,Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
417,2016,San Jose Sharks,3,Edmonton Oilers,4
418,2016,Boston Bruins,3,Montreal Canadiens,1
419,2016,New York Rangers,1,Vancouver Canucks,2
420,2016,Buffalo Sabres,3,Calgary Flames,4
421,2016,Montreal Canadiens,2,Detroit Red Wings,3
422,2016,Washington Capitals,1,Florida Panthers,4
423,2016,Chicago Blackhawks,1,Nashville Predators,5
424,2016,Philadelphia Flyers,4,St. Louis Blues,2
425,2016,Ottawa Senators,1,Tampa Bay Lightning,4
426,2016,Columbus Blue Jackets,4,Winnipeg Jets,6
427,2016,Carolina Hurricanes,5,Anaheim Ducks,1
428,2016,Minnesota Wild,1,Arizona Coyotes,2
429,2016,Winnipeg Jets,0,Chicago Blackhawks,2
430,2016,Philadelphia Flyers,1,Dallas Stars,3
431,2016,New York Rangers,5,Edmonton Oilers,7
432,2016,Detroit Red Wings,2,New Jersey Devils,3
433,2016,Los Angeles Kings,3,Pittsburgh Penguins,2
434,2016,Carolina Hurricanes,5,Arizona Coyotes,4
435,2016,Florida Panthers,1,Boston Bruins,3
436,2016,Los Angeles Kings,1,Buffalo Sabres,2
437,2016,New York Islanders,3,Columbus Blue Jackets,2
438,2016,New York Rangers,4,Calgary Flames,5
439,2016,Ottawa Senators,1,Montreal Canadiens,3
440,2016,Colorado Avalanche,3,Nashville Predators,2
441,2016,Minnesota Wild,2,San Jose Sharks,0
442,2016,Dallas Stars,0,St. Louis Blues,3
443,2016,Washington Capitals,2,Tampa Bay Lightning,1
444,2016,Vancouver Canucks,0,Chicago Blackhawks,4
445,2016,New Jersey Devils,0,New York Islanders,4
446,2016,Colorado Avalanche,3,St. Louis Blues,1
447,2016,Edmonton Oilers,3,Boston Bruins,2
448,2016,Tampa Bay Lightning,2,Columbus Blue Jackets,1
449,2016,Buffalo Sabres,2,Detroit Red Wings,1
450,2016,Los Angeles Kings,3,Ottawa Senators,5
451,2016,Washington Capitals,4,Pittsburgh Penguins,1
452,2016,New Jersey Devils,2,Buffalo Sabres,0
453,2016,Colorado Avalanche,3,Chicago Blackhawks,0
454,2016,Columbus Blue Jackets,1,Dallas Stars,5
455,2016,Vancouver Canucks,2,Minnesota Wild,6
456,2016,San Jose Sharks,3,Montreal Canadiens,1
457,2016,Calgary Flames,2,Nashville Predators,1
458,2016,Florida Panthers,5,New York Islanders,1
459,2016,Edmonton Oilers,2,New York Rangers,4
460,2016,Carolina Hurricanes,3,Philadelphia Flyers,4
461,2016,Tampa Bay Lightning,5,Toronto Maple Leafs,4
462,2016,St. Louis Blues,4,Winnipeg Jets,3
463,2016,Pittsburgh Penguins,0,Boston Bruins,3
464,2016,Ottawa Senators,1,Washington Capitals,2
465,2016,Columbus Blue Jackets,7,Arizona Coyotes,5
466,2016,Anaheim Ducks,0,Buffalo Sabres,3
467,2016,Edmonton Oilers,0,Chicago Blackhawks,4
468,2016,New York Islanders,1,Colorado Avalanche,2
469,2016,Calgary Flames,3,Dallas Stars,1
470,2016,New York Rangers,2,Minnesota Wild,5
471,2016,Los Angeles Kings,3,Montreal Canadiens,0
472,2016,Florida Panthers,5,New Jersey Devils,1
473,2016,Vancouver Canucks,0,Philadelphia Flyers,2
474,2016,Nashville Predators,1,St. Louis Blues,2
475,2016,San Jose Sharks,5,Toronto Maple Leafs,4
476,2016,Florida Panthers,2,Carolina Hurricanes,0
477,2016,Vancouver Canucks,4,Detroit Red Wings,3
478,2016,San Jose Sharks,2,Ottawa Senators,4
479,2016,Boston Bruins,6,Pittsburgh Penguins,2
480,2016,New York Rangers,2,Winnipeg Jets,5
481,2016,Tampa Bay Lightning,3,Washington Capitals,5
482,2016,New York Islanders,0,Arizona Coyotes,1
483,2016,Chicago Blackhawks,3,Buffalo Sabres,2
484,2016,Philadelphia Flyers,2,Columbus Blue Jackets,3
485,2016,Edmonton Oilers,1,Colorado Avalanche,5
486,2016,Montreal Canadiens,2,Dallas Stars,6
487,2016,Anaheim Ducks,2,New Jersey Devils,1
488,2016,Minnesota Wild,2,Nashville Predators,3
