ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
174,2016-11-08,00:00,Carolina Hurricanes @ New Jersey Devils,Carolina Hurricanes,New Jersey Devils,3.78,2.25,New Jersey Devils,New Jersey Devils,0.713,N,New Jersey Devils,2.25
175,2016-11-08,00:00,Vancouver Canucks @ New York Rangers,Vancouver Canucks,New York Rangers,2.6,2.83,Vancouver Canucks,New York Rangers,0.881,Y,Vancouver Canucks,2.6
176,2016-11-08,00:00,Detroit Red Wings @ Philadelphia Flyers,Detroit Red Wings,Philadelphia Flyers,2.36,3.92,Detroit Red Wings,Detroit Red Wings,0.523,N,Detroit Red Wings,2.36
177,2016-11-08,00:00,Edmonton Oilers @ Pittsburgh Penguins,Edmonton Oilers,Pittsburgh Penguins,3.92,2.02,Pittsburgh Penguins,Pittsburgh Penguins,0.604,N,Pittsburgh Penguins,2.02
178,2016-11-08,00:00,San Jose Sharks @ Washington Capitals,San Jose Sharks,Washington Capitals,1.99,3.21,San Jose Sharks,Washington Capitals,0.589,Y,San Jose Sharks,1.99
179,2016-11-08,00:30,Boston Bruins @ Montreal Canadiens,Boston Bruins,Montreal Canadiens,2.24,3.45,Boston Bruins,Montreal Canadiens,0.584,Y,Montreal Canadiens,3.45
180,2016-11-08,00:30,Los Angeles Kings @ Toronto Maple Leafs,Los Angeles Kings,Toronto Maple Leafs,2.8,3.82,Los Angeles Kings,Toronto Maple Leafs,0.545,Y,Los Angeles Kings,2.8
181,2016-11-08,01:00,Ottawa Senators @ Nashville Predators,Ottawa Senators,Nashville Predators,2.48,3.82,Ottawa Senators,Nashville Predators,0.548,Y,Nashville Predators,3.82
182,2016-11-08,01:00,Dallas Stars @ Winnipeg Jets,Dallas Stars,Winnipeg Jets,4.04,1.89,Winnipeg Jets,Winnipeg Jets,0.654,N,Winnipeg Jets,1.89
183,2016-11-08,02:00,Arizona Coyotes @ Colorado Avalanche,Arizona Coyotes,Colorado Avalanche,2.54,3.55,Arizona Coyotes,Colorado Avalanche,0.618,Y,Arizona Coyotes,2.54
184,2016-11-09,00:00,Anaheim Ducks @ Columbus Blue Jackets,Anaheim Ducks,Columbus Blue Jackets,3.93,1.9,Columbus Blue Jackets,Columbus Blue Jackets,0.679,N,Columbus Blue Jackets,1.9
185,2016-11-09,00:30,Ottawa Senators @ Buffalo Sabres,Ottawa Senators,Buffalo Sabres,3.41,4.0,Ottawa Senators,Ottawa Senators,0.553,N,Ottawa Senators,3.41
186,2016-11-09,01:00,Chicago Blackhawks @ St. Louis Blues,Chicago Blackhawks,St. Louis Blues,1.93,3.0,Chicago Blackhawks,Chicago Blackhawks,0.509,N,Chicago Blackhawks,1.93
187,2016-11-10,00:00,Columbus Blue Jackets @ Boston Bruins,Columbus Blue Jackets,Boston Bruins,2.72,3.49,Columbus Blue Jackets,Boston Bruins,0.547,Y,Boston Bruins,3.49
188,2016-11-10,00:00,Anaheim Ducks @ Carolina Hurricanes,Anaheim Ducks,Carolina Hurricanes,2.35,3.76,Anaheim Ducks,Anaheim Ducks,0.577,N,Anaheim Ducks,2.35
189,2016-11-10,00:00,Minnesota Wild @ Pittsburgh Penguins,Minnesota Wild,Pittsburgh Penguins,3.72,2.17,Pittsburgh Penguins,Minnesota Wild,0.508,Y,Minnesota Wild,3.72
190,2016-11-10,00:30,Vancouver Canucks @ Detroit Red Wings,Vancouver Canucks,Detroit Red Wings,3.86,2.29,Detroit Red Wings,Detroit Red Wings,0.699,N,Detroit Red Wings,2.29
191,2016-11-10,00:30,San Jose Sharks @ Florida Panthers,San Jose Sharks,Florida Panthers,2.22,2.75,San Jose Sharks,San Jose Sharks,0.507,N,San Jose Sharks,2.22
192,2016-11-10,00:30,Los Angeles Kings @ Montreal Canadiens,Los Angeles Kings,Montreal Canadiens,2.88,3.81,Los Angeles Kings,Montreal Canadiens,0.755,Y,Montreal Canadiens,3.81
193,2016-11-10,00:30,New York Islanders @ Tampa Bay Lightning,New York Islanders,Tampa Bay Lightning,4.03,1.9,Tampa Bay Lightning,Tampa Bay Lightning,0.736,N,Tampa Bay Lightning,1.9
194,2016-11-10,01:00,St. Louis Blues @ Nashville Predators,St. Louis Blues,Nashville Predators,2.26,3.88,St. Louis Blues,Nashville Predators,0.514,Y,Nashville Predators,3.88
195,2016-11-10,02:00,Winnipeg Jets @ Arizona Coyotes,Winnipeg Jets,Arizona Coyotes,3.86,2.48,Arizona Coyotes,Winnipeg Jets,0.62,Y,Winnipeg Jets,3.86
196,2016-11-10,02:00,Dallas Stars @ Calgary Flames,Dallas Stars,Calgary Flames,2.77,2.49,Calgary Flames,Dallas Stars,0.509,Y,Dallas Stars,2.77
197,2016-11-11,00:00,New Jersey Devils @ Buffalo Sabres,New Jersey Devils,Buffalo Sabres,2.47,2.45,Buffalo Sabres,New Jersey Devils,0.662,Y,New Jersey Devils,2.47
198,2016-11-11,00:00,Philadelphia Flyers @ Toronto Maple Leafs,Philadelphia Flyers,Toronto Maple Leafs,2.56,3.74,Philadelphia Flyers,Toronto Maple Leafs,0.598,Y,Toronto Maple Leafs,3.74
199,2016-11-11,00:30,Los Angeles Kings @ Ottawa Senators,Los Angeles Kings,Ottawa Senators,3.75,2.57,Ottawa Senators,Ottawa Senators,0.551,N,Ottawa Senators,2.57
