Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2007,Boston Bruins,7,Ottawa Senators,2
2007,Carolina Hurricanes,2,Philadelphia Flyers,1
2007,St. Louis Blues,4,Pittsburgh Penguins,1
2007,Florida Panthers,7,Toronto Maple Leafs,3
2007,Tampa Bay Lightning,5,Washington Capitals,4
2007,Dallas Stars,1,Anaheim Ducks,4
2007,Nashville Predators,2,Chicago Blackhawks,1
2007,Columbus Blue Jackets,0,Detroit Red Wings,5
2007,Pittsburgh Penguins,3,Atlanta Thrashers,4
2007,Vancouver Canucks,0,Boston Bruins,2
2007,New York Rangers,2,Florida Panthers,3
2007,Philadelphia Flyers,2,Montreal Canadiens,4
2007,Buffalo Sabres,7,Nashville Predators,2
2007,Tampa Bay Lightning,4,Ottawa Senators,2
2007,Edmonton Oilers,3,Phoenix Coyotes,2
2007,Dallas Stars,3,San Jose Sharks,0
2007,Los Angeles Kings,2,St. Louis Blues,5
2007,New York Islanders,1,Carolina Hurricanes,5
2007,Vancouver Canucks,2,Columbus Blue Jackets,3
2007,Toronto Maple Leafs,1,Chicago Blackhawks,3
2007,Minnesota Wild,1,Detroit Red Wings,3
2007,New Jersey Devils,4,Washington Capitals,1
2007,New Jersey Devils,2,Atlanta Thrashers,5
2007,Montreal Canadiens,2,Boston Bruins,4
2007,Chicago Blackhawks,2,Colorado Avalanche,3
2007,Edmonton Oilers,2,Dallas Stars,3
2007,Carolina Hurricanes,3,Florida Panthers,2
