Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
1981,Indiana Pacers,103,Cleveland Cavaliers,100
1981,New York Knicks,107,Milwaukee Bucks,119
1981,Kansas City Kings,104,San Antonio Spurs,122
1981,New Jersey Nets,104,Boston Celtics,119
1981,Utah Jazz,98,Chicago Bulls,118
1981,San Diego Clippers,109,Dallas Mavericks,112
1981,Cleveland Cavaliers,95,Detroit Pistons,101
1981,Washington Bullets,79,Philadelphia 76ers,95
1981,Houston Rockets,100,Portland Trail Blazers,106
1981,Los Angeles Lakers,113,Seattle SuperSonics,107
1981,Milwaukee Bucks,119,Atlanta Hawks,122
1981,Boston Celtics,106,Chicago Bulls,95
1981,Utah Jazz,103,Cleveland Cavaliers,110
1981,Houston Rockets,99,Golden State Warriors,97
1981,Dallas Mavericks,107,Kansas City Kings,114
1981,Detroit Pistons,94,New York Knicks,100
1981,Denver Nuggets,123,San Antonio Spurs,147
1981,Indiana Pacers,105,Washington Bullets,114
1981,Golden State Warriors,113,Los Angeles Lakers,122
1981,San Antonio Spurs,98,Milwaukee Bucks,115
1981,Philadelphia 76ers,114,New Jersey Nets,107
1981,Portland Trail Blazers,116,Phoenix Suns,110
1981,Seattle SuperSonics,81,San Diego Clippers,91
1981,New Jersey Nets,114,Atlanta Hawks,131
1981,San Antonio Spurs,89,Dallas Mavericks,83
1981,Kansas City Kings,133,Denver Nuggets,118
1981,Philadelphia 76ers,109,Indiana Pacers,107
1981,Utah Jazz,97,New York Knicks,112
1981,Los Angeles Lakers,92,San Diego Clippers,97
1981,Chicago Bulls,96,Washington Bullets,94
1981,Chicago Bulls,98,Boston Celtics,115
1981,New York Knicks,119,Detroit Pistons,103
1981,Portland Trail Blazers,115,Golden State Warriors,113
1981,San Antonio Spurs,113,Houston Rockets,107
1981,Milwaukee Bucks,112,New Jersey Nets,115
1981,Cleveland Cavaliers,79,Philadelphia 76ers,103
1981,Dallas Mavericks,102,Phoenix Suns,115
1981,Kansas City Kings,94,Seattle SuperSonics,101
1981,Denver Nuggets,122,Cleveland Cavaliers,130
1981,Detroit Pistons,104,Milwaukee Bucks,121
1981,Dallas Mavericks,92,San Diego Clippers,102
1981,Atlanta Hawks,109,Utah Jazz,97
1981,Houston Rockets,119,Boston Celtics,133
1981,Milwaukee Bucks,106,Chicago Bulls,129
1981,Indiana Pacers,106,Detroit Pistons,109
1981,Portland Trail Blazers,110,Los Angeles Lakers,106
1981,New Jersey Nets,107,Philadelphia 76ers,122
1981,Utah Jazz,90,Phoenix Suns,108
1981,Golden State Warriors,111,San Antonio Spurs,126
1981,Atlanta Hawks,92,Seattle SuperSonics,95
1981,New York Knicks,102,Washington Bullets,96
1981,Houston Rockets,109,Chicago Bulls,133
1981,Boston Celtics,107,Cleveland Cavaliers,102
1981,Golden State Warriors,101,Dallas Mavericks,98
1981,Indiana Pacers,107,Kansas City Kings,103
1981,Denver Nuggets,114,New York Knicks,120
1981,Atlanta Hawks,119,Portland Trail Blazers,122
1981,San Diego Clippers,103,Utah Jazz,91
1981,San Antonio Spurs,122,Los Angeles Lakers,135
1981,Houston Rockets,91,Milwaukee Bucks,123
1981,Phoenix Suns,111,Portland Trail Blazers,100
1981,Detroit Pistons,97,San Diego Clippers,117
1981,Phoenix Suns,109,Seattle SuperSonics,98
1981,Washington Bullets,83,Atlanta Hawks,100
1981,Denver Nuggets,128,Boston Celtics,136
1981,New York Knicks,114,Chicago Bulls,117
1981,Kansas City Kings,102,Cleveland Cavaliers,100
1981,Utah Jazz,101,Dallas Mavericks,96
1981,Golden State Warriors,114,Houston Rockets,99
1981,New Jersey Nets,109,Indiana Pacers,125
1981,Detroit Pistons,104,Phoenix Suns,113
1981,Los Angeles Lakers,102,Portland Trail Blazers,108
1981,Boston Celtics,117,New York Knicks,108
1981,San Antonio Spurs,111,Phoenix Suns,131
1981,Golden State Warriors,114,Portland Trail Blazers,115
1981,New Jersey Nets,94,Washington Bullets,109
1981,Chicago Bulls,100,Cleveland Cavaliers,98
1981,Denver Nuggets,111,Dallas Mavericks,119
1981,Houston Rockets,114,Detroit Pistons,94
1981,Philadelphia 76ers,113,Kansas City Kings,103
1981,Indiana Pacers,115,Los Angeles Lakers,116
1981,Atlanta Hawks,108,New Jersey Nets,95
1981,Portland Trail Blazers,96,Seattle SuperSonics,90
1981,Golden State Warriors,110,Utah Jazz,109
1981,Boston Celtics,112,Atlanta Hawks,107
1981,Detroit Pistons,97,Chicago Bulls,104
1981,Philadelphia 76ers,121,Denver Nuggets,125
1981,Seattle SuperSonics,98,Golden State Warriors,104
1981,Dallas Mavericks,96,Milwaukee Bucks,112
1981,Kansas City Kings,99,New York Knicks,100
1981,Los Angeles Lakers,106,Phoenix Suns,116
1981,Utah Jazz,117,San Antonio Spurs,142
1981,Indiana Pacers,109,San Diego Clippers,121
1981,Houston Rockets,97,Washington Bullets,115
1981,Philadelphia 76ers,116,Los Angeles Lakers,122
1981,Kansas City Kings,102,New Jersey Nets,99
1981,Dallas Mavericks,100,Cleveland Cavaliers,112
1981,Detroit Pistons,89,Atlanta Hawks,96
1981,New Jersey Nets,110,Chicago Bulls,121
1981,Indiana Pacers,110,Denver Nuggets,127
1981,San Diego Clippers,98,Houston Rockets,104
1981,Golden State Warriors,106,Kansas City Kings,104
1981,Dallas Mavericks,98,New York Knicks,100
1981,Boston Celtics,116,Phoenix Suns,97
1981,Philadelphia 76ers,108,Portland Trail Blazers,109
1981,Seattle SuperSonics,100,San Antonio Spurs,102
1981,Los Angeles Lakers,100,Utah Jazz,110
1981,Milwaukee Bucks,115,Washington Bullets,94
1981,Utah Jazz,103,Houston Rockets,117
1981,Denver Nuggets,119,Portland Trail Blazers,122
1981,Boston Celtics,88,San Diego Clippers,85
1981,Indiana Pacers,109,Atlanta Hawks,106
1981,Houston Rockets,124,Dallas Mavericks,120
1981,Phoenix Suns,133,Denver Nuggets,132
1981,New York Knicks,100,Detroit Pistons,102
1981,Boston Celtics,106,Golden State Warriors,121
1981,Utah Jazz,95,Kansas City Kings,101
1981,Cleveland Cavaliers,111,New Jersey Nets,105
1981,Los Angeles Lakers,112,San Antonio Spurs,118
1981,Philadelphia 76ers,120,Seattle SuperSonics,117
1981,Chicago Bulls,92,Washington Bullets,82
1981,San Antonio Spurs,119,Chicago Bulls,111
1981,Washington Bullets,112,Cleveland Cavaliers,132
1981,Philadelphia 76ers,119,Golden State Warriors,105
1981,Denver Nuggets,134,Houston Rockets,132
1981,San Diego Clippers,104,Indiana Pacers,128
1981,Atlanta Hawks,95,New York Knicks,131
1981,Portland Trail Blazers,103,Utah Jazz,109
1981,San Diego Clippers,95,Milwaukee Bucks,128
1981,Indiana Pacers,113,New Jersey Nets,104
1981,Boston Celtics,120,Portland Trail Blazers,111
1981,Dallas Mavericks,89,Seattle SuperSonics,103
1981,Phoenix Suns,113,Atlanta Hawks,106
1981,San Diego Clippers,93,Chicago Bulls,108
1981,Washington Bullets,98,Los Angeles Lakers,107
1981,New Jersey Nets,86,Milwaukee Bucks,102
1981,San Antonio Spurs,113,New York Knicks,108
1981,Detroit Pistons,90,Portland Trail Blazers,110
1981,Phoenix Suns,90,Boston Celtics,108
1981,Utah Jazz,121,Denver Nuggets,117
1981,Dallas Mavericks,111,Golden State Warriors,109
1981,Kansas City Kings,114,Houston Rockets,108
1981,New Jersey Nets,103,Indiana Pacers,112
1981,San Antonio Spurs,102,Philadelphia 76ers,135
1981,Detroit Pistons,94,Seattle SuperSonics,99
1981,Washington Bullets,118,Kansas City Kings,136
1981,Atlanta Hawks,95,Milwaukee Bucks,98
1981,Indiana Pacers,116,New York Knicks,115
1981,Dallas Mavericks,97,Utah Jazz,99
1981,Cleveland Cavaliers,108,Atlanta Hawks,107
1981,Chicago Bulls,111,Boston Celtics,117
1981,Seattle SuperSonics,87,Los Angeles Lakers,92
1981,Phoenix Suns,112,New Jersey Nets,95
1981,Houston Rockets,94,Philadelphia 76ers,107
1981,Portland Trail Blazers,86,San Antonio Spurs,102
1981,Denver Nuggets,130,San Diego Clippers,116
1981,Philadelphia 76ers,117,Chicago Bulls,102
1981,New York Knicks,104,Cleveland Cavaliers,99
1981,Washington Bullets,106,Dallas Mavericks,94
1981,Detroit Pistons,103,Golden State Warriors,105
1981,Portland Trail Blazers,105,Houston Rockets,106
1981,Milwaukee Bucks,102,Indiana Pacers,106
1981,Boston Celtics,117,New Jersey Nets,115
1981,Denver Nuggets,116,Seattle SuperSonics,119
1981,Kansas City Kings,99,Utah Jazz,92
1981,San Diego Clippers,115,Kansas City Kings,105
1981,Detroit Pistons,108,Los Angeles Lakers,117
1981,Phoenix Suns,109,Milwaukee Bucks,123
1981,Washington Bullets,106,San Antonio Spurs,137
1981,Golden State Warriors,106,Seattle SuperSonics,98
1981,Los Angeles Lakers,108,Cleveland Cavaliers,104
1981,Chicago Bulls,106,Dallas Mavericks,112
1981,Atlanta Hawks,132,Denver Nuggets,135
1981,Milwaukee Bucks,119,Detroit Pistons,96
1981,Boston Celtics,93,New York Knicks,89
1981,Seattle SuperSonics,99,Phoenix Suns,104
1981,Cleveland Cavaliers,113,Boston Celtics,120
1981,Utah Jazz,110,Golden State Warriors,107
1981,Chicago Bulls,105,Houston Rockets,109
1981,Detroit Pistons,99,Indiana Pacers,101
1981,Portland Trail Blazers,110,Kansas City Kings,91
1981,New Jersey Nets,105,Philadelphia 76ers,110
1981,Denver Nuggets,102,Phoenix Suns,128
1981,New York Knicks,105,San Antonio Spurs,116
1981,Atlanta Hawks,85,San Diego Clippers,106
1981,Los Angeles Lakers,104,Washington Bullets,114
1981,Washington Bullets,106,Detroit Pistons,89
1981,Philadelphia 76ers,110,Milwaukee Bucks,113
1981,San Antonio Spurs,85,Boston Celtics,94
1981,Portland Trail Blazers,113,Chicago Bulls,112
1981,New York Knicks,110,Dallas Mavericks,118
1981,Atlanta Hawks,111,Golden State Warriors,110
